Wow!	वाह!
We put sugar in our tea.	हम चाय में चीनी डालते हैं।
What do you want it for?	तुम्हे किसलिए चाहिए?
What is his nationality?	उसकी राष्ट्रीयता क्या है?
When do you play tennis?	तुम टेनिस कब खेलना चाहते हो?
When it rains, it pours.	जब बारिश होती है, तो ज़बरदस्त होती है।
Why don't you ever help?	तुम कभी भी मदद क्यों नहीं करते?
Why don't you ever help?	तू कभी भी मदद क्यों नहीं करता है?
Will you turn on the TV?	टीवी चालू करदोगे क्या?
You shouldn't wait here.	तुम्हें यहाँ इंतेज़ार नहीं करना चाहिए।
Are you younger than him?	तुम उससे छोटे हो क्या?
Bad news travels quickly.	बुरी खबर तेज़ी से फैलती है।
Can you keep it a secret?	क्या तुम इसे राज़ रख सकते हो?
Cheese is made from milk.	चीज़ दूध से बनता है।
Choose between these two.	इन दोनों में से किसी एक को चुनो।
Did he tell you anything?	उसने तुम्हें कुछ बताया क्या?
Did you do your homework?	तुमने अपना होमवर्क कर लिया क्या?
Did you do your homework?	होमवर्क किया क्या?
Do you have a pen on you?	तुम्हारे पास कलम है क्या?
Do you have any brothers?	तुम्हारे कोई भाई हैं क्या?
Do you need an ambulance?	आपको ऐमब्यूलेंस की ज़रूरत है क्या?
Don't play with that key!	उस चाबी के साथतानी मत करो!
Don't you want to go out?	बाहर नहीं जाना चाहते हो क्या?
Every house had a garden.	हर घर में बगीचा था।
He can't be under thirty.	वह कम-से-कम तीस साल का तो होगा।
He cut the envelope open.	उसने लिफ़ाफ़े को काटकर खोल दिया।
He did not die of cancer.	वह कैंसर से नहीं मरा।
He is very fond of music.	वह संगीत का बहुत शौकीन है।
He knows a lot of people.	वह बहुत सारे लोगों को जानता है।
He leveled his gun at me.	उसने अपनी बंदूक का निशाना मुझपर लगाया।
He was accused of murder.	उसपर कत्ल का इलज़ाम लगाया गया।
He was then a boy of ten.	वह दस साल का लड़का था।
He will not listen to me.	वह मेरी बात नहीं सुनेगा।
He's always dissatisfied.	वह कभी भी संतुष्ट नहीं होता।
He's reading a novel now.	वह अभी एक उपन्यास पढ़ रहा है।
Here, please have a seat.	यहां, बैठिये।
How long have you waited?	तुम कितनी देर से प्रतीक्षा कर रहे हो?
How much for half a kilo?	आधा किलो कितने का है?
I am able to drive a car.	मैं गाड़ी चला सकता हूँ।
I beg to differ with you.	माफ़ किजिए, पर मैं आपसे सहमत नहीं हूँ।
I can't live without you.	मैं तुम्हारे बिना जी नहीं सकता।
I can't live without you.	मैं तुम्हारे बगैर जी नहीं सकती।
I can't stand it anymore.	मुझसे और सहन नहीं होगा!
I can't walk any further.	मैं और नहीं चल सकती।
I can't walk any further.	मुझसे और नहीं चला जाएगा।
I don't like this jacket.	मुझे यह जैकेट पसंद नहीं है।
I felt like running away.	मेरा भाग जाने का मन हुआ।
I go to school by subway.	मैं मेट्रो लेकर स्कूल जाती हूँ।
I got lost in the forest.	मैं जंगल में खो गया।
I had two cups of coffee.	मैंने दो कप कॉफ़ी पी।
I have a heart condition.	मुझे दिल की बीमारी है।
I have to go to the bank.	मुझे बैंक जाना है।
I heard someone knocking.	मुझे किसी के खटखटाने की आवाज़ सुनाई दी।
I like English and music.	मुझे अंग्रेज़ी और संगीत पसंद हैं।
I like playing the piano.	मुझे पियानो बजाना पसंद है।
I need coughing medicine.	मुझे खाँसी की दवाई चाहिए।
I ran into an old friend.	मेरी एक पुराने दोस्त से मुलाक़ात हुई।
I think that he is right.	मुझे लगता है वह सही है।
I was on a trip to India.	मैं भारत की यात्रा पर था।
I was waiting for a taxi.	मैं टैक्सी का इंतेज़ार कर रहा था।
I was waiting for a taxi.	मैं टैक्सी की प्रतीक्षा कर रहा था।
I will explain it to her.	मैं उसको यह बात समझाउँगा।
I will explain it to him.	मैं उसको यह बात समझाउँगा।
I will have to help them.	मुझे उनकी मदद करनी पड़ेगी।
I will never do it again.	मैं फिरसे नहीं करूँगा।
I wish you spoke Spanish.	काश तुम स्पैनिश बोल सकते।
I'd like to get a refund.	मुझे अपने पैसे वापस चाहिए।
I'll call you back later.	मैं तुम्हें थोड़ी देर में फ़ोन करूँगा।
I'll call you back later.	मैं आपको थोड़ी देर बाद फ़ोन करूँगा।
I'm going to take a bath.	मैं नहाने जा रहा हूँ।
I've read the first page.	मैंने पहला पृष्ठ पढ़ा लिया I
Iron is harder than gold.	लोहा सोने से सख्त होता है।
Is your father a teacher?	क्या आपके पिताजी अध्यापक हैं?
Is your father a teacher?	क्या तुम्हारे पिताजी अध्यापक हैं?
Is your father a teacher?	क्या आपके पापा अध्यापक हैं?
Is your father a teacher?	क्या तुम्हारे पापा अध्यापक हैं?
Is your father a teacher?	क्या आपके पिताजी टीचर हैं?
Is your father a teacher?	क्या तुम्हारे पिताजी टीचर हैं?
Is your father a teacher?	क्या आपके पापा टीचर हैं?
Is your father a teacher?	क्या तुम्हारे पापा टीचर हैं?
Is your father a teacher?	तेरा बाप टीचर है क्या?
It is almost ten o'clock.	दस बजने वाले हैं।
It seems that he is rich.	ऐसा लगता है कि वह अमीर है।
It's not healthy for you.	यह तुम्हारी सेहत के लिए अच्छा नहीं है।
Let me introduce my wife.	यह मेरी पत्नी है।
Let me know your address.	मुझे अपना पता बतादेना।
My father died of cancer.	मेरे पिताजी कैंसर से चल बसे।
Please wait five minutes.	कृपया पाँच मिनट ठहरिए।
She is an obstinate girl.	वह एक ज़िद्दी लड़की है।
She left the baby crying.	उसने बच्चे को रोते हुए छोड़ दिया।
She refused to notice me.	उसने मुझे ध्यान में लेने से इनकार करदिआ।
Ten years is a long time.	दस साल बहुत लम्बा समय होता है।
The doctor felt my pulse.	डॉक्टर ने मेरी नब्ज़ ली।
The food is getting cold.	खाना ठंडा हो रहा है।
The food's not ready yet.	खाना अभी तक तैयार नहीं हुआ है।
The man committed murder.	उस आदमी ने कत्ल किया।
The party was successful.	पार्टी कामयाब रही।
These are very old books.	ये किताबें काफ़ी पुरानी हैं।
They gathered in the gym.	वे सब जिमखाने में मिले।
This amount includes tax.	इस कीमत में टैक्स शामिल है।
This house has six rooms.	इस घर में छः कमरे हैं।
This is as large as that.	यह उसके जितना बड़ा है।
This road is very narrow.	यह रास्ता बहुत पतला है।
Tokyo is a very big city.	टोक्यो बहुत बड़ा शहर है।
Tom is able to swim well.	टॉम को अच्छे से तैरना आता है।
We had no water to drink.	हमारे पास पीने के लिए पानी नहीं था।
We import tea from India.	हम भारत से चाय का आयात करते हैं।
We would die without air.	हम हवा के बिना मर जाएँगे।
What are you looking for?	क्या ढूँढ रहे हो?
What happened last night?	कल रात क्या हुआ?
What he lacks is courage.	उसको बहादुरी की ज़रूरत है।
What school do you go to?	तुम कौनसे स्कूल में पढ़ते हो?
What time do you go home?	तुम किस समय घर जाती हो?
What time do you go home?	तुम कितने बजे घर जाते हो?
When are you coming back?	तुम वापस कब आओगे?
When did you get married?	तुम्हारी शादी कब हुई थी?
Will you please go there?	आप वहाँ जाएँगे क्या?
Yes, I like it very much.	हाँ, मुझे यह बहुत पसंद है।
You have to wait in line.	आपको लाईन में लगकर इंतेज़ार करना पड़ेगा।
You made me lose my mind.	तुमने मुझे पागल कर दिया।
A is 5 times as long as B.	A B से पाँचगुना लम्बा है।
Apples were on sale today.	आज सेव सस्ते बिक रहे थे।
As for me, I am satisfied.	मैं तो संतुष्ट हूँ।
Can you come to the party?	तुम पार्टी में आ सकते हो क्या?
Canada is a large country.	कनाडा एक बड़ा देश है ।
Come to my house at eight.	मेरे घर आठ बजे आना।
Did the police arrest Tom?	पुलीस ने टॉम को गिरफ़्तार किया क्या?
Do you believe in fairies?	तुम परियों में विश्वास करते हो क्या?
Do you believe in fairies?	तुम परियों में विश्वास करती हो क्या?
Do you have a larger size?	आपके पास इससे बड़े नाप का है क्या?
Do you want to come along?	तुम साथ आना चाहते हो क्या?
Don't leave the door open.	दरवाज़े को खुला मत छोड़ो।
Have you been here before?	तुम यहाँ पहले आए हुए हो क्या?
He began to learn English.	उसने अंग्रेज़ी सीखना शुरू किया।
He came back from America.	वह अमरीका से वापस आ गया।
He couldn't run very fast.	वह ज़्यादा तेज़ नहीं भाग सकता था।
He doesn't understand you.	वह तुम्हें समझता नहीं है।
He hammered at the window.	उसने खिड़की पर ज़ोर लगाकर खटखटाया।
He has many history books.	उसके पास बहुत सारी इतिहास की किताबें हैं।
He hesitated for a moment.	उसने थोड़ी देर हिचकिचाया।
He is one of my neighbors.	वह मेरे पड़ोसियों में से एक है।
He likes his school a lot.	उसे अपना स्कूल बहुत पसंद है।
He makes fun of everybody.	वह सबका मज़ाक उड़ाता है।
He often plays the guitar.	वह अक्सर गिटार बजाता है।
He taught me how to write.	उसने मुझे लिखना सिखाया।
He walked along the river.	हमने नदी के किनारे सैर करी।
He wanted to buy the book.	वह किताब को खरीदना चाह्ता था।
He was afraid to go there.	वह वहाँ जाने से डरता था।
He was burning with fever.	वह बुखार से जल रहा था।
He was looking at the sky.	वह आसमान की ओर देख रहा था।
He was sentenced to death.	उसे मौत की सज़ा दे दी गई।
He witnessed the accident.	उसने दुर्घटना को अपनी आँखों से देखा था।
He witnessed the accident.	वह उस दुर्घटना का चश्मदीद गवाह था।
He's sleeping like a baby.	वह बच्चे की तरह सो रहा है।
His story may not be true.	हो सकता है कि उसकी कहानी सच न हो।
How can I meet this quota?	मैं इस कोटे तक भला कैसे पहुंच सकता हूँ?
How many bowls do we have?	हमारे पास कितनी कटोरियाँ हैं?
How many cars do you have?	आपके पास कितनी गाड़ियाँ हैं?
Hunger drove him to steal.	भूख ने उसे चोरी करने पर मजबूर किया।
I am able to read English.	मैं अंग्रेज़ी पढ़ सकता हूँ।
I am able to read English.	मैं अंग्रेज़ी पढ़ सकती हूँ।
I bought a book yesterday.	मैंने कल एक किताब खरीदी थी।
I can't make it this time.	मैं इस बार नहीं आ सकता।
I cannot walk any farther.	मैं और नहीं चल सकती।
I caught a glimpse of her.	मुझे उसकी झलक दिखाई दी।
I feel like taking a rest.	मुझे थोड़ा आराम करने का मन है।
I fixed the car yesterday.	मैंने गाड़ी को कल ठीक किया था।
I found out where she was.	मुझे पता लगा कि वह कहाँ थी।
I get up at six every day.	मैं रोज़ छः बजे उठता हूँ।
I have a Facebook account.	मेरे पास फ़ेसबुक खाता है।
I have no time to see you.	मेरे पास तुमसे मिलने के लिए समय नहीं है।
I haven't seen Tom lately.	मैंने टॉम को हाल में नहीं देखा है।
I haven't seen him lately.	मैंने उसे हाल में नहीं देखा है।
I know how to drive a car.	मुझे गाड़ी चलाना आता है।
I like the way she smiles.	मुझे उसकी मुस्कान अच्छी लगती है।
I met him at the barber's.	मैं उससे नाई के यहाँ मिला।
I sold it for ten dollars.	मैंने उसे दस डॉलर के लिए बेच दिया।
I usually get up at eight.	मैं आमतौर पर आठ बजे उठा करता हूँ।
I want to see the manager.	मैं मैनेजर से मिलना चाह्ता हूँ।
I want to see the manager.	मैं मैनेजर से मिलना चाह्ती हूँ।
I want to travel with you.	मैं तुम्हारे साथ सफ़र करना चाहता हूँ।
I was afraid he might die.	मुझे उसके मरने का डर था।
I wish I had this problem.	काश ये समस्या मुझे हुई होती।
I wish I had this problem.	काश ये मुसीबत मेरे पल्ले पड़ती।
I'll be there at five p.m.	मैं वहाँ शाम के पाँच बजे पहुँच जाऊँगा।
I'll bring one more towel.	मैं एक और तौलिया लाती हूँ।
I'm busy with my homework.	मैं अपने होमवर्क में लगा हुआ हूँ।
I'm disappointed with you.	मैं तुमसे निराश हूँ।
I'm glad to see you again.	मैं तुम्हें फिरसे देखकर बहुत खुश हूँ।
I'm interested in history.	मुझे इतिहास में दिलचस्पी है।
I'm standing in the shade.	मैं छाया में खड़ा हूँ।
I'm standing in the shade.	मैं छाँओं में खड़ा हूँ।
I'm waiting for my mother.	मैं अपनी माँ का इंतेज़ार कर रहा हूँ।
It is a difficult problem.	यह समस्या बहुत कठिन है।
It is easy to add 5 to 10.	पाँच से दस को जोड़ना बहुत आसान है।
It's already nine o'clock.	नौ बज चुकें हैं।
It's for a friend of mine.	यह मेरे दोस्त के लिए है।
Let's meet this afternoon.	इस दोपहर को मिलते हैं।
May I ask a few questions?	क्या मैं चंद सवाल पूछ सकती हूँ?
Mother bought me the book.	मम्मी ने मेरे लिए वह किताब खरीदी।
My brother lives in Tokyo.	मेरा भाई टोक्यो में रहता है।
My father may be sleeping.	मेरे पिता शायद सो रहे होंगे।
My father stopped smoking.	मेरे पिता ने सिगरेट पीना बंद कर दिया।
My right foot is sleeping.	मेरा दाहिना पैर सो गया है।
My wife really hates cats.	मेरी बीवी को बिल्लियों से नफ़रत है।
Never speak ill of others.	दूसरों की बुराई कभी नहीं करनी चाहिए।
One of my bags is missing.	मेरी एक अटैची ग़ायब है।
One of my bags is missing.	मुझे अपनी एक अटैची मिल नहीं रही है।
School begins at 8:30 a.m.	स्कूल साढ़े-आठ बजे शुरू होता है।
She did it all by herself.	उसने सब कुछ अपने-आप किया।
She has not come here yet.	वह अभी तक यहाँ नहीं आई है।
She looked at the picture.	उसने तस्वीर को देखा।
She showed me her new car.	उसने मुझे अपनी नई गाड़ी दिखाई।
Smog causes plants to die.	स्मॉग से पेड़-पौधों की मौत होती है।
Some snakes are poisonous.	कुछ सांप ज़हरीले होते हैं।
Thank you for the present.	तोहफ़े के लिए धन्यवाद।
The enemy won't get close.	दुश्मन पास नहीं आ पाएगा।
The haze enveloped London.	लंदन में धुंध छा गई थी।
The king abused his power.	राजा ने अपनी ताकत का दुरुपयोग किया।
The prisoner was released.	क़ैदी को रिहा कर दिया गया।
There is no TV in my room.	मेरे कमरे में टीवी नहीं है।
There must be another way.	कोई और रास्ता भी होगा।
These are very big apples.	ये सेब बहुत बड़े हैं।
They are watching a movie.	वे फ़िल्म देख रहे हैं।
They looked at each other.	उन्होंने एक-दूसरे को देखा।
This desk is made of wood.	यह मेज़ लकड़ी की बनी है।
This is my father's house.	मेरे पापा का घर है।
Today is Independence Day.	आज स्वतंत्रता दिवस है।
Tom couldn't help but cry.	टॉम खुद को रोने से रोक न सका।
Tom couldn't help but cry.	टॉम रो पड़ा।
Twenty families live here.	यहाँ बीस परिवार बसे हुए हैं।
We all felt sorry for Tom.	हम सब टॉम के लिए दुःखी थे।
We painted the door green.	हमने दरवाज़े को हरे रंग से पोत दिया।
We regard him as our hero.	हम उसे अपना हीरो मानते हैं।
We walked around the pond.	हम तालाब के आस-पास टहलें।
We're here to protect you.	आपकी रक्षा करना हमारा काम है।
We're here to protect you.	हम आपकी रक्षा करने के लिए यहाँ आए हैं।
What a lucky person he is!	वह कितना नसीबवाला है!
What did you do yesterday?	तुमने कल क्या किया?
What do you want me to do?	तुम मुझसे क्या करवाना चाहते हो?
What's your favorite food?	तुम्हारा सबसे पसंदीता खाना कौनसा है?
Why are you talking to me?	मुझसे बात क्यों कर रहे हो?
Will you make room for me?	मेरे लिए थोड़ी जगह बनाओगे क्या?
Would you mind if I smoke?	मेरे सिगरेट पीने पर आपको आपत्ति तो नहीं होगी?
Yesterday was my birthday.	कल मेरा जन्मदिन था।
You are tired, aren't you?	तुम थक गए हो, है ना?
You had better go at once.	तुम्हे तुरंत जाना चाहिए।
You keep a dog, don't you?	तुम्हारे पास एक कुत्ता है, है न?
A crow is as black as coal.	कौआ कोयले जैसा काला होता है।
A man appeared at the door.	दरवाज़े पर एक आदमी दिखाई दिया।
Come see me again tomorrow.	मुझसे कल फिर आकर मिलना।
Do you have an appointment?	आपके पास अपौइंटमेंट है क्या?
Don't fail to call me back.	मुझे वापस फ़ोन करना मत भूलना।
Don't say things like that.	ऐसा मत बोलो।
Each of them has a bicycle.	उन सभी के पास साईकल है।
Father is watering flowers.	पापा फूलों को पानी दे रहे हैं।
Greeks often eat fish, too.	ग्रीक लोग भी अक्सर मछली खाते हैं।
Have you ever seen a koala?	तुमने कभी क्वाला देखा है?
He asked me for some money.	उसने मुझसे थोड़े पैसे माँगे।
He became a police officer.	वह पुलिस अफ़सर बन गया।
He believes whatever I say.	मैं जो भी कहता हूँ वह मेरा यकीन कर लेता है।
He decided to quit smoking.	उसने सिगरेट पीना छोड़ने का फ़ैसला किया।
He did the work on his own.	उसने काम अपने-आप किया।
He is engaged to my sister.	उसकी मेरी बहन के साथ सगाई हो चुकी है।
He occasionally visited me.	वह कभी-कभार मुझसे मिलने आता था।
He saw a dog near the door.	उसने दरवाज़े के पास एक कुत्ता देखा।
He usually comes home late.	वह आमतौर पर घर देर से आता है।
He visited Kyoto last year.	वह पिछले साल क्योटो गया था।
He's always late for class.	वह क्लास में हमेशा देर से आता है।
His opinions are worthless.	उसकी राय बेकार है।
Honesty is the best policy.	ईमानदारी सर्वोत्तम नीति है।
How long has she been sick?	वह कितने दिनों से बीमार है?
How many books do you have?	तुम्हारे पास कितनी किताबें हैं?
I am interested in English.	मुझे अंग्रेज़ी में दिलचस्पी है।
I arrived later than usual.	मैं आमतौर के मुकाबले में देर से आया।
I believe whatever he says.	वह जो भी कहे मुझे उसपर यकीन है।
I bought two dozen pencils.	मैंने दो दर्जन पेनसिलें खरीदीं।
I can't take any more work.	मुझसे और काम नहीं किया जाएगा।
I cover twenty miles a day.	मैं रोज़ बीस मील चलता हूँ।
I don't believe him at all.	मैं उसका बिलकुल भी यकीन नहीं करता।
I don't care what they say.	वे जो मर्ज़ी कहें मुझे उससे कोई फ़र्क नहीं पड़ता।
I don't know what to study.	मुझे समझ में नहीं आ रहा कि क्या पढ़ूँ।
I had to decline his offer.	मुझे उसके प्रस्ताव को अस्वीकार करना पड़ा।
I sat between Tom and John.	मैं टॉम और जॉन के बीच में बैठा।
I was born on June 4, 1974.	मैं ४ जून, १९७४ को पैदा हुआ था।
I was in London last month.	मैं पिछले महीने लंदन में था।
I'd like a map of the city.	मैं शहर का नक्शा खरीदना चाहता हूँ।
I'm a good-for-nothing bum.	मैं निकम्मा हूँ।
I'm looking for an old man.	मैं एक बूढ़े आदमी की तलाश मे हूँ।
Is the mouse dead or alive?	चूहा ज़िन्दा है या मर गया है?
It hardly ever rains there.	यहाँ पर मुश्किल से कभी बारिश होती है।
It is said that he is sick.	कहा जाता है कि वह बीमार है।
It seems interesting to me.	मुझे बहुत मज़ेदार लगती है!
It seems interesting to me.	मुझे बहुत दिलचस्प लगती है!
It's raining cats and dogs.	मुसलाधार बारिश होती है।
It's raining cats and dogs.	मुसलाधार वर्षा होती है।
It's the same for everyone.	सब लोगों के लिए एक समान है।
My aunt brought me flowers.	मेरी बुआ-जी मेरे लिए फूल लाईं।
My boss will not say 'yes'.	मेरे बॉस "हाँ" नहीं कहेंगे।
Our train stopped suddenly.	हमारी ट्रेन अचानक रुक गई।
Place it wherever you like.	जहाँ भी रखना है रखदो।
She forgot to feed her dog.	वह अपने कुत्ते को खिलाना भूल गई।
She has long arms and legs.	उसके हाथ-पैर लम्बे हैं।
She is in bed with a fever.	वह बुखार के साथ बिस्तर में लेटी हुई है।
She knew the story already.	उसको कहानी पहले से ही पता थी।
She likes her school a lot.	उसे अपना स्कूल बहुत पसंद है।
She married Tom last month.	उसने पिछले महीने टॉम से शादी करी थी।
She plays tennis very well.	वह टेनिस बहुत अच्छा खेलती है।
She suddenly became famous.	वह अचानक से मशहूर बन गई।
She was crying in her room.	वह अपने कमरे में रो रही थी।
Take good care of yourself.	अपना अच्छे से ख़याल रखना।
That's really a great idea.	यह तो बहुत ही अच्छा सुझाव है।
The box he found was empty.	उसे जो डब्बा मिला वह खाली था।
The bride suddenly laughed.	दुल्हन अचानक से हँस पड़ी।
The man hit me on the head.	उस आदमी ने मुझे सर पर मारा।
The medicine tastes bitter.	इस दवाई का स्वाद बहुत कड़वा है।
The mud clung to his shoes.	उसके जूतों पर कीचड़ लगी हुई थी।
The novel is very exciting.	यह उपन्यास बहुत रोमांचक है।
The paint hasn't dried yet.	पेंट अभी तक सूखा नहीं है।
The rain continued all day.	बरसात पूरे दिन होती रही।
The water is not drinkable.	यह पानी पिया नहीं जा सकता है।
There is a bag on the desk.	मेज़ पर बस्ता रखा हुआ है।
This car was made in Japan.	यह गाड़ी जापान में बनी थी।
This is the monsoon season.	यह वर्षा ऋतु का मौसम है।
This word comes from Greek.	यह शब्द ग्रीक से आता है।
Tom and I'll both be there.	टॉम और मैं दोनों वहाँ रहेंगे।
Tom, I want to talk to you.	टॉम, मुझे तुमसे बात करनी है।
Turn off the light, please.	बत्ती बंद करदो, प्लीज़।
Turn off the light, please.	कृपया बत्ती बंद कर दीजिए।
We all laughed at his joke.	हम सब उसके मज़ाक पर हँसे।
We celebrated his birthday.	हमने उसका जन्मदिन मनाया।
We don't know where we are.	हमें नहीं पता हम कहाँ हैं।
We should keep our promise.	हमे अपना वादा निभाना चाहिए।
We voted for the candidate.	हमने उस उम्मीदवार को चुना।
We voted for the candidate.	हमने उस उम्मीदवार को अपना मत दिया।
We want complete sentences.	हमे केवल सम्पूर्ण वाक्य चाहिएँ।
We've got that figured out.	हमने उसका हिसाब लगा लिया।
What I said hurt his pride.	मेरी बात ने उसके अभिमान पर चोट पहुँचाई।
What do you call this bird?	इस पक्षी का नाम क्या है?
What happened to our order?	हमारे औरडर का क्या हुआ?
Where did all the bread go?	सारा ब्रॅड कहाँ चला गया?
Where is the changing room?	कपड़े बदलने का कमरा कहाँ पर है?
Why don't you listen to me?	तुम मेरी बात सुनते क्यों नहीं हो?
Will you turn on the light?	बत्ती चालू कर दोगे क्या?
You are always complaining.	तुम हमेशा शिकायत करते रहते हो।
You are on the wrong train.	आप गलत ट्रेन पर हैं।
A day has twenty-four hours.	एक दिन में चौबीस घंटे होते हैं।
Are you for or against this?	आप इसके हित में हैं या नहीं?
At last, we got to the lake.	हम आखिरकार झील तक पहुँच गए।
Bring your sister next time.	अगली बार अपनी बहन को भी साथ लाना।
Can you teach me how to fly?	क्या तुम मुझे उड़ना सिखा सकते हो?
Canada is larger than Japan.	कनाडा जापान से बड़ा है।
Could you speak more slowly?	थोड़ा धीरे बोल सकते हैं क्या?
Do you have any soft drinks?	तुम्हारे पास कोक-शोक है क्या?
Do you have time on Tuesday?	तुम्हारे पास मंगलवार को समय है क्या?
Do you want to go somewhere?	आपको कहीं जाना है?
Do you want to go somewhere?	तुम्हें कहीं जाना है?
Everyone felt sorry for Tom.	सब टॉम के लिए दुःखी थे I
Everyone speaks well of him.	सभी उसकी अच्छाई करते है।
France is in Western Europe.	फ़्रान्स पश्चिमी यूरोप में है।
France is in western Europe.	फ़्रान्स पश्चिमी यूरोप में है।
He closed the door suddenly.	उसने अचानक से दरवाज़ा बंद किया।
He could not breathe deeply.	वह लम्बी सांस नहीं ले पाता था।
He doesn't know how to swim.	उसको तैरना नहीं आता।
He explained the rule to me.	उसने मुझे वह नियम समझाया।
He is digging his own grave.	वह अपनी क़ब्र खोद रहा है।
He plays baseball every day.	वह हर रोज़ बेसबॉल खेलता है।
He prefers French to German.	उसे फ़्रानसीसी जर्मन से ज़्यादा अच्छी लगती है।
He read this book yesterday.	उसने यह किताब कल पढ़ी थी।
He repeated his name slowly.	उसने अपना नाम दोबारा धीरे से बोला।
He treats me like his slave.	वह मुझसे ग़ुलाम की तरह बर्ताव करता है।
He went there instead of me.	वह मेरे बजाय वहां गया।
His birthday is August 21st.	उसका जन्मदिन इक्कीस अगस्त को है।
How long will you stay here?	आप यहाँ कितने दिन रहेंगे?
I accompanied her on a walk.	मैं उसके साथ सैर के लिए गया।
I believe you like your job.	मुझे लगता है कि तुम्हे तुम्हारा काम अच्छा लगता है।
I didn't go out last Sunday.	मैं पिछले रविवार बाहर नहीं निकला था।
I don't know if he knows it.	मुझे नहीं पता कि उसको पता है कि नहीं।
I don't know what Tom knows.	मुझे नहीं पता कि टॉम को क्या पता है।
I don't know what they know.	मुझे नहीं पता कि उन्हें क्या पता है।
I explained the rule to him.	मेने उसे नियम समझाया।
I gave him what money I had.	मेरे पास जो भी पैसे थे मैंने उसे दे दिए।
I had never seen him before.	मैंने उसे पहले कभी नहीं देखा था।
I have already done my work.	मैं अपना काम कर चुका हूँ।
I have just cleaned my room.	मैंने अपना कमरा अभी अभी साफ़ किया है।
I have seen her three times.	मैंने उसे तीन बार देखा है।
I have to answer his letter.	मुझे उसकी चिट्ठी का जवाब देना है।
I met your father yesterday.	मैं कल तुम्हारे पिताजी से मिला।
I prefer walking to cycling.	मुझे सायकल चलाना चलने से ज़्यादा पसंद है।
I saw him crossing the road.	मैंने उसे सड़क पार करते हुए देखा।
I was born in Osaka in 1977.	मेरा जन्म सन १९७७ में ओसाका में हुआ था।
I will call on him tomorrow.	मैं कल उससे मिलने जाऊँगा।
I'll be on duty this Sunday.	मैं इस रविवार को ड्यूटी पर हूँगा।
I'm sorry, my father is out.	माफ़ कीजिएगा, मेरे पापा अभी घर पर नहीं हैं।
Insert it wherever you like.	जहाँ भी घुसाना है घुसादो।
Iron is a very useful metal.	लोहा एक बहुत उपयोगी धातु है।
Is Spanish spoken in Mexico?	मेक्सिको में स्पैनिश बोली जाती है क्या?
Is it about ten million yen?	तकरीबन दस एक अरब येन होंगे?
Is it hard to speak English?	अंग्रेज़ी बोलना मुश्किल होता है क्या?
It is a sheer waste of time.	यह सरासर समय की बर्बादी है।
It was easy for me to do so.	यह मेरे लिए करना बहुत आसान था।
It was too difficult for me.	वह मेरे लिए बहुत कठिन था।
It's like a dream come true.	मानो कोई सपना सच आ गया हो।
Let's cut down our expenses.	हमें अपने खर्चे कम करने होंगे।
Mary loves going to the spa.	मेरी को स्पा जाना पसंद है।
My father is going to China.	मेरे पिता चीन जा रहे हैं।
My jeans shrank in the wash.	मेरी जीन्स पैंट धुलाई में सिकुड़ गई।
No answer is also an answer.	जवाब न देना भी एक तरह का जवाब होता है।
No one can move the big box.	उस बड़े डब्बे को कोई भी नहीं हिला सकता।
Nobody answered my question.	किसी ने भी मेरे सवाल का जवाब नहीं दिया।
Nobody else offered to help.	किसी और ने मदद करने की इच्छा प्रकट नहीं करी।
Please give me a cup of tea.	मुझे एक कप चाय दीजिए।
Please speak in a low voice.	कृपया धीमी आवाज़ में बात कीजिए।
Please speak in a low voice.	कृपया हल्की आवाज़ में बात कीजिए।
See what's going on outside.	देखो बाहर क्या हो रहा है।
She allowed him to go alone.	उसने उसको अकेले जाने दिया।
She declined the invitation.	उसने आमंत्रण को स्वीकार नहीं किया।
She dialed the wrong number.	उसने गलत नम्बर मिला डाला।
She said that she was happy.	उसने कहा कि वह खुश थी।
She saved a hundred dollars.	उसने सौ डॉलर बचा लिए।
She was robbed of her purse.	उसका पर्स उससे चुरा लिया गया।
She wears her hair in a bun.	वह अपने बालों को जूड़े में बाँधती है।
Smoking is not allowed here.	यहाँ धूम्रपान करना मना है।
Soldiers are used to danger.	सिपाहियों को खतरे से खेलने की आदत होती है।
Someone knocked on the door.	किसी ने दरवाज़े पर खटखटाया।
Spanish is spoken in Mexico.	मेक्सिको में स्पैनिश बोली जाती है।
Speaking English isn't easy.	अंग्रेज़ी बोलना आसान नहीं है।
Stand still and keep silent.	शांति से खड़े रहो।
Take off your socks, please.	अपने मोज़े उतारिए।
Ten houses were burned down.	दस घर जलकर राख हो गए।
Thank you for the other day.	उस दिन के लिए बहुत बहुत धन्यवाद।
Thank you very much, doctor.	डॉक्टर साहब, आपका बहुत बहुत धन्यवाद।
That town is two miles away.	वह नगर दो मील दूर है।
That town is two miles away.	वह नगर दो मील की दूरी पर है।
The Japanese have dark eyes.	जापानियों की आँखें कालीं होतीं हैं।
The hot water isn't running.	गरम पानी नहीं चल रहा है।
The room smelled of tobacco.	कमरे में तम्बाकू की महक थी।
The store is not open today.	दुकान आज बंद है।
The store is not open today.	दुकान आज खुली नहीं है।
There is a book on the desk.	मेज़ पर किताब है।
They are both good teachers.	वे दोनों अच्छे अध्यापक हैं।
This house has eleven rooms.	इस मकान में ग्यारह कमरे हैं।
